benchmark,ddpg,smart
16545960.0,17019946.0,16916685.0
16727773.0,16548830.0,16877374.0
16509087.0,16779391.0,16966751.0
16742100.0,16999072.0,17244965.0
16734553.0,16689168.0,16819714.0
16735756.0,16818046.0,16915423.0
16644475.0,16447624.0,16514440.0
16734503.0,16718287.0,16818836.0
16714320.0,16999025.0,16702350.0
16803116.0,16893579.0,16955171.0
16709106.0,16824995.0,16595878.0
16824688.0,17091156.0,16897815.0
16910554.0,16813382.0,16697909.0
16705693.0,16806332.0,16742168.0
16866986.0,17007065.0,16861443.0
16734488.0,16760027.0,16800239.0
16821147.0,16693047.0,16946678.0
16711597.0,16801205.0,16777766.0
16804759.0,16720182.0,16863821.0
16647347.0,16889559.0,16733379.0
16935701.0,16675081.0,16877991.0
16559897.0,16560355.0,16813056.0
16847350.0,16906025.0,16999886.0
16659478.0,16736330.0,17000019.0
16609071.0,16802092.0,17187253.0
16598893.0,16488985.0,16577291.0
16724833.0,16737522.0,17035958.0
16504580.0,16915874.0,17107256.0
16483307.0,16883203.0,16926274.0
16765812.0,16863513.0,17104057.0
16529847.0,17010903.0,16998357.0
16566848.0,17090249.0,16921698.0
16956236.0,16980103.0,16970728.0
16645938.0,16926206.0,17169808.0
16298579.0,17002065.0,16891097.0
16699181.0,17059696.0,16790135.0
16709913.0,16920228.0,16730281.0
16691118.0,16951053.0,16878904.0
16777981.0,16811089.0,16742690.0
16835743.0,16786429.0,16551072.0
16510745.0,16971434.0,16569607.0
16799599.0,16561724.0,16809029.0
16574886.0,16836916.0,16992328.0
16835073.0,16671976.0,17052777.0
16685857.0,16639184.0,17120762.0
16859736.0,16889941.0,16764816.0
16724391.0,16795648.0,16942683.0
16721865.0,17056559.0,17111327.0
16758797.0,16765076.0,17016338.0
16735129.0,16658169.0,16836949.0
16687073.0,16673549.0,17119665.0
16658617.0,16849022.0,16849087.0
16496989.0,16699416.0,16911462.0
16816547.0,16925998.0,16818427.0
16677522.0,16744013.0,16874106.0
16852199.0,16759877.0,16827454.0
16824833.0,16790492.0,16972132.0
16717812.0,16742390.0,17176552.0
16790973.0,16796613.0,17094674.0
17102525.0,16812658.0,16961029.0
16784920.0,16799590.0,17022925.0
16500538.0,16963940.0,17138654.0
16823537.0,16601500.0,16928127.0
16845733.0,16631954.0,17152023.0
16737224.0,16617493.0,16698361.0
16976484.0,16958017.0,17136546.0
16908318.0,16774047.0,17255641.0
16814935.0,16504422.0,16873485.0
16658848.0,16885379.0,16816455.0
16843386.0,16608345.0,16789929.0
16774385.0,16824738.0,16766950.0
16859416.0,16593201.0,16691988.0
16690094.0,16782642.0,16893132.0
16621095.0,16688390.0,16954523.0
16737947.0,16963931.0,16873867.0
16687222.0,16868429.0,16883737.0
16643390.0,17105298.0,17061122.0
16617581.0,16847663.0,16804574.0
16822337.0,16634826.0,16777451.0
16665406.0,16708012.0,17013510.0
16683520.0,16868479.0,16859442.0
16862680.0,16709188.0,16887203.0
16910074.0,16574108.0,16907150.0
17008893.0,16772712.0,17155036.0
16636147.0,17012219.0,16878767.0
16874392.0,16632018.0,16807216.0
16611662.0,16604511.0,16965546.0
16623302.0,16735505.0,17076638.0
16804824.0,16902958.0,15440324.0
16889442.0,16752416.0,16867162.0
16702616.0,16782838.0,16834921.0
16422577.0,16968917.0,17293854.0
16771742.0,16831440.0,16821612.0
16944080.0,16678289.0,16981846.0
16872265.0,16465364.0,16868330.0
16653640.0,16656068.0,16835979.0
16844384.0,16848681.0,16863478.0
16729801.0,16904640.0,17069516.0
16684349.0,16976637.0,17085170.0
16660765.0,16622051.0,-338477.201
